dataset,dataset_name,openml_id,model,cp_method,alpha,target_coverage,empirical_coverage,avg_set_size,set_size_variance,class_cond_coverage_gap,point_accuracy,brier_score,ece,per_class_efficiency
wdbc,WDBC Breast Cancer,1510,RandomForest,Mondrian,0.01,0.99,0.9912280701754386,1.0701754385964912,0.0652508464142813,0.023809523809523836,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.0972222222222223, 1: 1.0238095238095237}"
wdbc,WDBC Breast Cancer,1510,RandomForest,APS,0.2,0.8,1.0,1.7017543859649122,0.20929516774392118,0.0,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.7361111111111112, 1: 1.6428571428571428}"
wdbc,WDBC Breast Cancer,1510,RandomForest,APS,0.15,0.85,1.0,1.7017543859649122,0.20929516774392118,0.0,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.7361111111111112, 1: 1.6428571428571428}"
wdbc,WDBC Breast Cancer,1510,RandomForest,APS,0.1,0.9,1.0,1.7017543859649122,0.20929516774392118,0.0,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.7361111111111112, 1: 1.6428571428571428}"
wdbc,WDBC Breast Cancer,1510,RandomForest,APS,0.05,0.95,1.0,1.7017543859649122,0.20929516774392118,0.0,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.7361111111111112, 1: 1.6428571428571428}"
wdbc,WDBC Breast Cancer,1510,RandomForest,APS,0.01,0.99,1.0,1.7017543859649122,0.20929516774392118,0.0,0.9824561403508771,0.05865438596491229,0.12333333333333328,"{0: 1.7361111111111112, 1: 1.6428571428571428}"
wdbc,WDBC Breast Cancer,1510,XGBoost,Standard,0.2,0.8,0.7105263157894737,0.7192982456140351,0.20190827947060638,0.06944444444444453,0.9736842105263158,0.03628559410572052,0.060797730370898494,"{0: 0.7361111111111112, 1: 0.6904761904761905}"
wdbc,WDBC Breast Cancer,1510,XGBoost,Standard,0.15,0.85,0.8245614035087719,0.8333333333333334,0.13888888888888892,0.17460317460317454,0.9736842105263158,0.03628559410572052,0.060797730370898494,"{0: 0.8888888888888888, 1: 0.7380952380952381}"
wdbc,WDBC Breast Cancer,1510,XGBoost,Standard,0.1,0.9,0.9122807017543859,0.9210526315789473,0.07271468144044323,0.125,0.9736842105263158,0.03628559410572052,0.060797730370898494,"{0: 0.9583333333333334, 1: 0.8571428571428571}"
wdbc,WDBC Breast Cancer,1510,XGBoost,Standard,0.05,0.95,0.9912280701754386,1.0175438596491229,0.017236072637734686,0.023809523809523836,0.9736842105263158,0.03628559410572052,0.060797730370898494,"{0: 1.0, 1: 1.0476190476190477}"
wdbc,WDBC Breast Cancer,1510,XGBoost,Standard,0.01,0.99,0.9912280701754386,1.0526315789473684,0.04986149584487533,0.023809523809523836,0.9736842105263158,0.03628559410572052,0.060797730370898494,"{0: 1.0277777777777777, 1: 1.0952380952380953}"
wdbc,WDBC Breast Cancer,1510,XGBoost,ClassConditional,0.2,0.8,0.7543859649122807,0.7631578947368421,0.1807479224376731,0.125,0.9736842105263158,0.03628559410572052,0.060797730370898494,"{0: 0.7083333333333334, 1: 0.8571428571428571}"
wdbc,WDBC Breast Cancer,1510,XGBoost,ClassConditional,0.15,0.85,0.8508771929824561,0.8596491228070176,0.12065250846414283,0.009920634920634885,0.9736842105263158,0.03628559410572052,0.060797730370898494,"{0: 0.8472222222222222, 1: 0.8809523809523809}"
wdbc,WDBC Breast Cancer,1510,XGBoost,ClassConditional,0.1,0.9,0.956140350877193,0.9649122807017544,0.03385657125269313,0.031746031746031744,0.9736842105263158,0.03628559410572052,0.060797730370898494,"{0: 0.9444444444444444, 1: 1.0}"
wdbc,WDBC Breast Cancer,1510,XGBoost,ClassConditional,0.05,0.95,0.9649122807017544,0.9912280701754386,0.008694983071714376,0.017857142857142794,0.9736842105263158,0.03628559410572052,0.060797730370898494,"{0: 0.9861111111111112, 1: 1.0}"
